Agent Name,Company,Experience,Activity Range,Listed House
Travis R Janssen (Team),Re/Max Freedom,7 months,$360K - $538K,2024-07-28
Blanca  Deleon,Keller Williams Realty Antelop,35 years,$4K - $765K,2024-07-28
Sandra Feliciano,Ksreinv Inc.,28 years 11 months,$250K - $1.17M,2024-07-28
Tina Cameron,COMPASS,22 years 11 months,$825K - $1.9M,2024-07-28
KENNETH OGBOGU,Briteway Investments,18 years 11 months,$215K - $1M,2024-07-28
Rick Brucker,Rick Brucker Realty,45 years 5 months,$995K - $1.25M,2024-07-28
"Maxi Case, THE REAL ESTATE PLACE MAXI CASE & COMPANY",THE REAL ESTATE PLACE MAXI CASE & COMPANY,38 years 4 months,$6K - $2.2M,2024-07-28
Nikko Kelaidis,Pacific Sotheby's International Realty,17 years,$175K - $2.62M,2024-07-28
Hector Castillo Rivera,Realty X Group,12 years,$292K - $740K,2024-07-28
Paul Marmorstein,Capre,6 years 4 months,$10K - $2M,2024-07-28
Andrea Castaneda,RE MAX All-Pro,23 years,$39.9K - $999K,2024-07-28
WILSON RUIZ,"Gallant Realty, Inc.",33 years 1 month,$300K - $2.95M,2024-07-28
Nicole Vale,SOTHEBYS INTERNATIONAL REALTY,24 years,$300K - $9.75M,2024-07-28
Dennis Chernov,The Agency,49 years 6 months,$235K - $5.6M,2024-07-28
The Begley  Team,Berkshire Hathaway HomeServices California Properties -,24 years,$535K - $3.89M,2024-07-28
Ren Smith,Coldwell Banker Realty,19 years,$130K - $1.7M,2024-07-28
Imraan Ali,COMPASS,24 years,$525K - $525K,2024-07-28
(Mac) Loganda Mahesh,Maclons Capital Realty,2 years 4 months,$1.8K - $14.9M,2024-07-28
Garland Young,eXp Realty of California Inc.,13 years 6 months,N/A,2024-07-28
Jonathan Minerick,homecoin.com,N/A,N/A,2024-07-28
Young Hong,NEW STAR REALTY & INVESTMENTS,26 years,$1.1M - $60.9M,2024-07-28
Ginger Glass,COMPASS,13 years 11 months,$4.5M - $4.5M,2024-07-28
Jeff Konecke,Coldwell Banker Realty,28 years,$32K - $2.4M,2024-07-28
Gerardo Ascencio,"San Fernando Realty, Inc.",3 years 9 months,$2K - $5.73M,2024-07-28
Simon Mills,Mills Realty,16 years,$210K - $1.6M,2024-07-28
David Shorter,"David Shorter, Broker",11 years 6 months,$9.75K - $1.95M,2024-07-28
Richard Valdez - Lic,Valdez Realty,16 years,$546K - $1.23M,2024-07-28
Jen Day,Westside Property Group,35 years 10 months,$166K - $895K,2024-07-28
Joe Cappellino,Benchmark Realtors,36 years,$400K - $2.23M,2024-07-28
Paige Gordon,Corcoran Icon Properties,32 years 6 months,$409K - $4.85M,2024-07-28
Dominic Pietrangelo,eXp Realty of Greater Los Angeles,21 years 2 months,$10K - $3.5M,2024-07-28
MICHAEL RESCIGNO,Berkshire Hathaway HomeServices,21 years 3 months,$70K - $7.55M,2024-07-28
Bill Ruane,Re/Max Estate Properties,2 years 10 months,$1.5K - $65K,2024-07-28
Buy land with low payments,LA Best Homes,37 years,$4.9K - $2.17M,2024-07-28
Alvin Mullins,Your Home Team Real Estate,N/A,$10K - $1.46M,2024-07-28
W. Ryan Lenocker,eXp Realty of California Inc.,N/A,$10K - $950K,2024-07-27
Jorge Cantu,"San Fernando Realty, Inc.",N/A,$12K - $985K,2024-07-27
Alex Hollander,Equity Union,N/A,$10K - $430K,2024-07-27
Keith Kelley,"Palm Realty Boutique, Inc.",N/A,N/A,2024-07-27
Deborah Jacobs,East Valley Real Estate,N/A,N/A,2024-07-27
Ray Akbari,The Agency,21 years 1 month,$380K - $18M,2024-07-27
Mert Malki,"ARI Financial, Inc.",19 years 11 months,$550K - $3.3M,2024-07-27
Victoria Beliso,Compass,16 years,$629K - $1M,2024-07-27
"Carmen Arom, MBA",Engel & Volkers La Canada,16 years 2 months,$1M - $29.8M,2024-07-27
Shamon Shamonki,,32 years,$450K - $2.53M,2024-07-27
Soraya Powell,"Vylla Home, Inc.",22 years 8 months,$275K - $1.34M,2024-07-27
Jenny Duong,EXP REALTY,20 years,$580K - $1.98M,2024-07-27
Kimberly Kelly Cocuzza,AARE,22 years,$49.5K - $940K,2024-07-27
